"Index" "Output" "Consumption" "Investment" "Market investment" "Home investment" "Hours" "Productivity" "Capital stock" "Capital stock: market" "Capital stock: home" "Solow residual" "Relative price of investment" "Tax rate: capital income" "Tax rate: labor income" "Return to business capital, pre-tax" "Return to business capital, pre-tax, no capital gain" "Return to business capital, after--tax" "Return to business capital, after-tax, no capital gain" "Return to all capital, pre-tax" "Return to all capital, pre-tax, no capital gain" "Return to all capital, after--tax" "Return to all capital, after-tax, no capital gain" "Return to housing capital, pre-tax" "Return to housing capital, pre-tax, no capital gain" "Return to housing capital, after--tax" "Return to housing capital, after-tax, no capital gain"
1947-01-01 NA NA NA NA NA NA NA NA NA NA NA 1.65015716081545 0.472483056361876 0.155717630053454 NA NA NA NA NA NA NA NA NA NA NA NA
1947-04-01 NA NA NA NA NA NA NA NA NA NA 25.6081240420936 1.6863255259545 0.427544116454185 0.155937820060334 22.0297824218102 12.1646087095066 16.3505970529647 6.83538555697805 17.6786896321622 8.0812710156581 14.2597694866959 4.87444456855011 11.8026086567933 2.5706736800317 11.3893245502033 2.18326974699905
1947-07-01 NA NA NA NA NA NA NA NA NA NA 24.9093597399997 1.69391682397847 0.422603047757839 0.149373539195623 13.8345607733723 11.863045762592 8.6312338416866 6.72784686928039 9.83313148082776 7.91393702914247 6.69220848911289 4.81441592808944 4.40418911294129 2.55674700974469 4.0186823089829 2.17637015102248
1947-10-01 NA NA NA NA NA NA NA NA NA NA 24.8471903754052 1.68161762497663 0.433370997483908 0.148561195886885 8.68768396247925 11.8123940000469 3.5578478804686 6.57167265797853 4.8574225863943 7.89946694221013 1.74851096363802 4.72289790260143 -0.409052990164793 2.51807415253826 -0.781123616450929 2.13782766119246
1948-01-01 19.6092922522953 10.09537889166 5.17563266643111 2.08141775953547 3.09421490689564 0.766477790987455 25.5836404953529 48.1459132824089 21.1745543646594 26.9713589177496 24.9580869840486 1.67349478693985 0.402839640177817 0.146811581503472 10.4047569550126 12.5005575365444 5.30879950569267 7.33179104407136 6.29323921352558 8.3303637970499 3.19259068153996 5.1850880120925 0.572010319776162 2.5265267955568 0.199514711566406 2.14861243750193
1948-04-01 19.8825607097665 10.2142078282394 5.23636730288256 2.05038478727329 3.18598251560927 0.760777933576663 26.1345128877387 48.5095784087802 21.3885098799745 27.1210685288057 25.4491163831773 1.70476607341907 0.392933314216654 0.129048141429145 21.6183834657081 13.1904282860856 15.9922205544112 7.86099576028929 16.8365419545947 8.66056511480662 13.4717329261981 5.47458193209696 10.3500970954893 2.52001552334662 9.99583896852585 2.18479001529861
1948-07-01 20.0968235730248 10.1749516029424 5.33835621292275 2.10110229954686 3.2372539133759 0.765581175644075 26.2504149950103 48.7972968906927 21.4939898416797 27.303307049013 25.5811748603335 1.74537636301215 0.392243988214686 0.121925709157713 23.5755775478306 12.7802657123771 18.0572397867275 7.62961261527395 18.9413390627364 8.45452691936159 15.6316205142784 5.36693301636426 12.6107349506305 2.55014656203962 12.2648772450039 2.22774067020128
1948-10-01 20.1902082314948 10.2425496481098 5.32464797214102 2.19066776013415 3.13398021200686 0.75854562960353 26.6169989563418 49.2062244876512 21.6540971450491 27.5521273426022 25.9170043664039 1.7749397745595 0.375809534642258 0.122098209299023 20.7103467315557 13.0949440445509 15.3919849419528 8.03166549793623 16.0501060676108 8.65806701081722 12.8596216384642 5.62177310124317 9.71212934504677 2.62744739024827 9.36124803469036 2.2937074980969
1949-01-01 19.8821815601672 10.2276493990794 5.1139954734485 2.08173394848518 3.03226152496332 0.740680727344599 26.8431198843886 49.5238415053412 21.8724435007799 27.6513980045613 25.8776782112746 1.77968060116592 0.37449278820897 0.127115691238955 13.4232084078394 12.2535192234794 8.67267815853439 7.53997485692464 9.3453035257113 8.20733927811521 6.47963961455935 5.36414595349324 3.80114104487559 2.70678706019327 3.45376358424168 2.36216113104906
1949-04-01 19.6305581171813 10.2066695899299 5.18905326437781 2.01095529242605 3.17809797195176 0.724402201817089 27.0989763255 50.0778790059677 22.1375220711518 27.9403569348159 25.8749530062045 1.78801742134335 0.366280462566699 0.123590336535837 13.603358022589 11.5554768780788 9.2006253530762 7.21269649138405 9.85565072544523 7.85876478611476 7.18068575860842 5.22046304918362 4.73529346651353 2.80878713989865 4.3833253853689 2.46168793635273
1949-07-01 19.7751857283037 10.0796266865791 5.22737726474712 1.905897005755 3.32148025899212 0.714263248800412 27.6861307949354 50.6276299529283 22.2853503695859 28.3422795833424 26.385123270347 1.79096222107985 0.365360039736122 0.119042095928802 12.7227359675836 12.0037651562035 8.1966653169901 7.49947347012367 8.80320435025341 8.10308089591241 6.07738949385337 5.39047323852591 3.53128078234117 2.85677772317126 3.18645064353409 2.51363458032707
1949-10-01 19.4684759570608 10.0953614441449 5.38757170322224 1.85099320213045 3.53657850109179 0.702971189754499 27.6945573884185 51.1238387219768 22.304012988066 28.8198257339109 26.138287499217 1.7785598497002 0.390345987207262 0.115030330264771 8.05939720392894 11.0252345223272 3.74169161424414 6.61849842714692 4.65928163959373 7.55508586932894 2.05843895249973 4.90028595037204 0.105664485001133 2.90677146509934 -0.227674767873798 2.56645797357309
1950-01-01 20.1911194823477 10.173507171617 5.64571871201303 1.90287455195982 3.74284416005321 0.709191862104707 28.4706023309763 51.7002369907195 22.2623239350079 29.4379130557116 27.2929401264953 1.78286130238345 0.440274920833638 0.120128395423162 13.3691650516834 12.310031530987 7.77770918778753 6.75804591490865 9.29072986790789 8.26033676740596 5.98571133557431 4.97880503815791 3.94671983658927 2.95439446067887 3.59579947611077 2.60599071181893
